siren,nom,adresse,code_postal,commune,departement,effectif_code,effectif_label,activite_naf,section_naf,nature_juridique,ca,resultat_net,est_ess,est_esus,est_siae,est_societe_mission,est_association,dirigeants,total_subventions,jtms_offres,jtms_roles,score,segment
775680309,COALLIA,16 AU 18 16 COUR SAINT-ELOI 75012 PARIS 12,75012,PARIS 12,75,51,2000-4999,87.90B,Q,9220,77865443.0,-2882665.0,True,False,True,False,True,ARIAS DIDIER (Commissaire aux comptes suppléant); AZZAOUI MOSTAFA (Autre); BARADJI MAMADOU (Autre); BRULÉ CHRISTIAN (Administrateur); CARENCO JEAN-FRANCOIS CLAUDE (Président du conseil d'administration); CHARDON JEAN-MARC (Vice-Président); DESRUMAUX GILLES (Administrateur); DIAKITE MAHAMADOU (Autre); DIAWARA SIDI (Autre); GASSOT YVES (Administrateur); HESSE CATHERINE (Administrateur); SAVINAS (HUBERTY) MARIE-HELENE (Administrateur); JEUDY KHET-DEUCHLINE (Autre); KARAKAC JEANNETTE (Autre); MACHTOU NICOLAS (Autre); OUSSET XAVIER (Administrateur); RICHARD ARNAUD (Directeur Général); RISTORI DOMINIQUE (Administrateur); SALAT-BAROUX FREDERIC (Administrateur); TIBERGHIEN FREDERIC (Administrateur); BEN HAMOU (VERBEKE) JACQUEMINE (Administrateur),233737123.34,0,,14,Hot
531199974,PREMIERE URGENCE INTERNATIONALE,2 RUE AUGUSTE THOMAS 92600 ASNIERES-SUR-SEINE,92600,ASNIERES-SUR-SEINE,92,32,250-499,88.99B,Q,9220,,,True,False,False,False,True,,22431237.51,6,Stagiaire Afrique 1 | Chargé·e de projet Timesheets | Chargé·e de projet Transformation | Chargé·e de Recrutement et Mobilité | Chargé·e de Webmarketing et Communication Digitale | Responsable Adjoint·e Service Audit,14,Hot
775682040,UCPA SPORT VACANCES (UCPA),21 RUE DE STALINGRAD 94110 ARCUEIL,94110,ARCUEIL,94,42,1000-1999,93.19Z,R,9220,133549189.0,-3573029.0,True,False,False,False,True,LEGAUT GUILLAUME (Directeur Général),1161943.46,0,,12,Hot
530342740,FONDATION DES AMIS DE L'ATELIER,59 BOULEVARD DE STRASBOURG 75010 PARIS,75010,PARIS,75,51,2000-4999,87.20A,Q,9300,,,True,False,True,False,True,,1849109.21,0,,11,Hot
775688732,APF FRANCE HANDICAP (APF),17 BOULEVARD AUGUSTE BLANQUI 75013 PARIS,75013,PARIS,75,53,10000+,88.10B,Q,9230,,,True,False,True,False,True,,8257409.4,0,,11,Hot
775678691,ESPOIR CENTRES FAMILIAUX JEUNE,282 RUE DES PYRENEES 75020 PARIS,75020,PARIS,75,32,250-499,87.90A,Q,9220,,,True,False,True,False,True,,2722044.14,0,,11,Hot
341062404,GROUPE SOS SOLIDARITES,102 C RUE AMELOT 75011 PARIS,75011,PARIS,75,51,2000-4999,87.90B,Q,9220,,,True,False,True,False,True,,105160324.42,0,,11,Hot
775657570,FONDATION COS ALEXANDRE GLASBERG,88-90 88 BOULEVARD DE SEBASTOPOL 75003 PARIS,75003,PARIS,75,51,2000-4999,88.99B,Q,9300,,,True,False,True,False,True,,12205730.54,0,,11,Hot
784579682,FEDERATION APAJH (FEDERATION APAJH),BOITE AU LETTRE N 35 29E ETAGE 33 AVENUE DU MAINE 75015 PARIS,75015,PARIS,75,52,5000-9999,88.99B,Q,9230,,,True,False,True,False,True,,1534776.4300000002,0,,11,Hot
353305238,CITES CARITAS,72 RUE ORFILA 75020 PARIS,75020,PARIS,75,42,1000-1999,88.99B,Q,9220,,,True,False,True,False,True,,64747742.019999996,0,,11,Hot
784615718,FONDATION FALRET,50 RUE DU THEATRE 75015 PARIS,75015,PARIS,75,41,500-999,87.90B,Q,9300,,,True,False,True,False,True,,6586176.42,0,,11,Hot
318043411,ASS FORMA ACTION SOCIALE ECURIE COURSES (AFASEC),IMMEUBLE THEMIS 15 BOULEVARD DE DOUAUMONT 75017 PARIS,75017,PARIS,75,32,250-499,85.32Z,P,9220,,,True,False,True,False,True,,2030565.2000000002,0,,11,Hot
775657695,ASSOCIATION L' ESSOR,79 B RUE DE VILLIERS 92200 NEUILLY-SUR-SEINE,92200,NEUILLY-SUR-SEINE,92,42,1000-1999,70.10Z,Q,9220,,,True,False,True,False,True,,586533.9299999999,0,,11,Hot
775672272,CROIX ROUGE FRANCAISE (CRF),SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS,75014,PARIS,75,53,10000+,88.99B,Q,9230,,,True,False,True,False,True,,188225617.62,0,,11,Hot
317236248,EMMAUS SOLIDARITE,32 RUE DES BOURDONNAIS 75001 PARIS,75001,PARIS,75,41,500-999,87.90B,Q,9220,,,True,False,True,False,True,,78425856.61,0,,11,Hot
775676265,HOVIA (HOVIA),SIEGE SOCIAL HOVIA PARIS 17 104 RUE JOUFFROY D'ABBANS 75017 PARIS,75017,PARIS,75,42,1000-1999,88.99B,Q,9230,,,True,False,True,False,True,,1399570.24,0,,11,Hot
775737646,APOGEI 94,IMMEUBLE METROSCOPE 68-70 70 AVENUE DU GENERAL DE GAULLE 94000 CRETEIL,94000,CRETEIL,94,42,1000-1999,70.10Z,Q,9220,,,True,False,True,False,True,,1762902.32,0,,11,Hot
792272916,EMMAUS CONNECT,71 RUE ARCHEREAU 75019 PARIS,75019,PARIS,75,22,100-199,94.99Z,Q,9220,,,True,False,False,False,True,,1062889.59,2,Responsable Ressources Humaines H/F | Stagiaire Logistique et réemploi solidaire  H/F,11,Hot
775693385,LADAPT (LADAPT),21 RUE DES ARDENNES 75019 PARIS,75019,PARIS,75,51,2000-4999,88.10C,Q,9230,,,True,False,True,False,True,,522708.55,0,,11,Hot
751703430,CROIX ROUGE INSERTION (CR INSERTION),21 RUE DE LA VANNE 92120 MONTROUGE,92120,MONTROUGE,92,41,500-999,88.99B,S,9220,,,True,False,True,False,True,,1003012.0,0,,11,Hot
775681331,OEUVRE DE SECOURS AUX ENFANTS (OSE),117 RUE DU FAUBOURG DU TEMPLE 75010 PARIS,75010,PARIS,75,41,500-999,88.99A,Q,9230,,,True,False,True,False,True,,786820.61,0,,11,Hot
808022321,ASSOCIATION UCPA SPORT LOISIRS,21  A  37 21 RUE DE STALINGRAD 94110 ARCUEIL,94110,ARCUEIL,94,32,250-499,93.19Z,R,9220,27490730.0,-905728.0,True,False,False,False,True,BAILLY OLIVIER (Administrateur); BARBIER ALAIN (Administrateur); BLEIN YVES JEAN (Autre); BOUIX FREDERIC (Administrateur); CHAUMOND CEDRIC (Administrateur); CORPET MARTHE (Administrateur); LE BAS LILA (Vice-Président); LEGAUT GUILLAUME (Directeur Général); NEDELEC GILLES BENOIT (Vice-Président); BONNET OULALDJ (OULALDJ) EMMANUELLE (Membre); TRÖGE (POINT) VERONIQUE ANNIE (Autre); SAUVRENEAU ALAIN (Administrateur),113368.08,0,,10,Hot
785041005,FONDATION PERCE NEIGE,CS 20171 7 B RUE DE LA GARE 92300 LEVALLOIS-PERRET,92300,LEVALLOIS-PERRET,92,42,1000-1999,88.99B,Q,9300,,,True,False,False,False,True,,5000.0,8,Agent technique (H/F) | Educateur spécialisé (H/F) | Aide-soignant de nuit (H/F) | Moniteur Educateur (H/F) | Accompagnant éducatif et social (AES) (H/F) | Moniteur Educateur (H/F) | Référent technique de l'accompagnement des personnes TND/TSA | Responsable ressources humaines (H/F),10,Hot
398522243,L'OPCOMMERCE,251 BOULEVARD PEREIRE 75017 PARIS,75017,PARIS,75,41,500-999,94.99Z,S,9220,,,True,False,False,False,True,,11171566.21,0,,9,Warm
305405045,AFTRAL (AFTRAL),46 AVENUE DE VILLIERS 75017 PARIS,75017,PARIS,75,51,2000-4999,85.59A,P,9220,,,True,False,False,False,True,,1864389.0,0,,9,Warm
330377524,ASSOCIATION INTERNATIONALE POUR LA FORMATION (A.I.P.F),1 RUE SAINTE-MARIE 92400 COURBEVOIE,92400,COURBEVOIE,92,32,250-499,85.42Z,P,9220,,,True,False,False,False,True,,807580.18,0,,9,Warm
851296632,ATLAS SOUTENIR LES COMPETENCES,25 QUAI PANHARD ET LEVASSOR 75013 PARIS,75013,PARIS,75,32,250-499,94.11Z,S,9220,,,True,False,False,False,True,,19025437.04,0,,9,Warm
334821626,ASS ST LOUIS DE GONZAGUE,12 RUE BENJAMIN FRANKLIN 75016 PARIS,75016,PARIS,75,32,250-499,85.31Z,P,9220,,,True,False,False,False,True,,694109.38,0,,9,Warm
775730096,ESPEREM (ESPEREM),83 RUE DE SEVRES 75006 PARIS,75006,PARIS,75,32,250-499,87.90A,Q,9220,,,True,False,False,False,True,,9954394.77,0,,9,Warm
784280802,IPAG,10 RUE DU THEATRE 75015 PARIS,75015,PARIS,75,32,250-499,85.42Z,P,9220,,,True,False,False,False,True,,655120.0,0,,9,Warm
775723679,AMICALE DU NID,21 RUE DU CHATEAU D'EAU 75010 PARIS,75010,PARIS,75,32,250-499,88.99B,Q,9220,,,True,False,False,False,True,,16006761.14,0,,9,Warm
349958876,ASS NAT GEST FOND INSERT PROFES HANDICAP (AGEFIPH),192 AVENUE ARISTIDE BRIAND 92220 BAGNEUX,92220,BAGNEUX,92,41,500-999,88.99B,Q,9220,,,True,False,False,False,True,,9856275.89,0,,9,Warm
775660087,ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET ADDICTOLOGIE (ANPAA),BP 206 20 RUE SAINT-FIACRE 75002 PARIS,75002,PARIS,75,42,1000-1999,86.21Z,Q,9220,,,True,False,False,False,True,,2265421.89,0,,9,Warm
398898338,EFREI PARIS,30 A 32 30 AVENUE DE LA REPUBLIQUE 94800 VILLEJUIF,94800,VILLEJUIF,94,32,250-499,85.42Z,P,9220,,,True,False,False,False,True,,1732500.0,0,,9,Warm
352216873,ASSOCIATION POUR LE DROIT A L'INITIATIVE ECONOMIQUE (A.D.I.E.),23 RUE DES ARDENNES 75019 PARIS,75019,PARIS,75,41,500-999,88.99B,Q,9220,,,True,False,False,False,True,COMBES (AILLET) DOMINIQUE (Administrateur); ALTWEGG JEAN-MARC (Administrateur); BERNARD MICHEL (Vice-Président); BONNET-GALZY (BONNET) MARIE-CAROLINE FANNY (Administrateur); DÉCHELETTE (CHALAYER) CLAUDE (Administrateur); CASTEL (CLOLUS) ANNICK MARIE HELENE (Administrateur); DEJOIE ERIC (Administrateur); DJAGOUE RUBEN (Administrateur); DOUBILET FLORA (Administrateur); DÉTRIE PHILIPPE (Administrateur); ERRECART MARIE THERESE (Administrateur); GUYOT D'ASNIÈRES DE SALINS ANTOINE (Administrateur); JANAILLAC JEAN-MARC (Administrateur); LAVENIR FREDERIC (Autre); MERCIER VINCENT (Administrateur); SALMON BRUNO (Vice-Président); SILVY PIERRE (Administrateur); VIGNIER BERNARD (Administrateur),4306817.69,0,,9,Warm
775671118,FENELON SAINTE-MARIE-LA PLAINE MONCEAU,47 RUE DE NAPLES 75008 PARIS,75008,PARIS,75,32,250-499,85.31Z,P,9220,,,True,False,False,False,True,,1129286.03,0,,9,Warm
817797095,ARPAVIE,8 RUE ROUGET DE LISLE 92130 ISSY-LES-MOULINEAUX,92130,ISSY-LES-MOULINEAUX,92,51,2000-4999,87.30A,Q,9220,,,True,False,False,False,True,,885577.87,0,,9,Warm
775666696,SECOURS CATHOLIQUE,106 RUE DU BAC 75007 PARIS,75007,PARIS,75,42,1000-1999,88.99B,Q,9230,,,True,False,False,False,True,,5061998.06,0,,9,Warm
309065043,UNIFORMATION,43 BOULEVARD DIDEROT 75012 PARIS,75012,PARIS,75,32,250-499,94.11Z,S,9220,,,True,False,False,False,True,,53300931.52,0,,9,Warm
879036895,OPERATEUR DE COMPETENCES DES ENTREPRISES DE PROXIMITE,4 RUE DU COLONEL DRIANT 75001 PARIS,75001,PARIS,75,42,1000-1999,94.99Z,S,9220,,,True,False,False,False,True,,25904301.76,0,,9,Warm
325002111,ESTP - GRANDE ECOLE D'INGENIEURS DE LA CONSTRUCTION (ESTP),28 AVENUE DU PRESIDENT WILSON 94230 CACHAN,94230,CACHAN,94,41,500-999,85.42Z,P,9220,,,True,False,False,False,True,,2440494.0,0,,9,Warm
775685506,GROUPE SOS JEUNESSE,102 C RUE AMELOT 75011 PARIS,75011,PARIS,75,42,1000-1999,88.99B,Q,9220,,,True,False,False,False,True,,25165887.17,0,,9,Warm
775682982,ASSOCIATION NOTRE DAME DE BON SECOURS,68 RUE DES PLANTES 75014 PARIS,75014,PARIS,75,32,250-499,88.99B,Q,9220,,,True,False,False,False,True,,575215.53,0,,9,Warm
844752006,OCAPIAT,CS 60742 153 RUE DE LA POMPE 75016 PARIS,75016,PARIS,75,32,250-499,94.99Z,S,9220,,,True,False,False,False,True,,9493930.629999999,0,,9,Warm
784547507,FRANCE TERRE D ASILE (FTDA),24 RUE MARC SEGUIN 75018 PARIS,75018,PARIS,75,42,1000-1999,87.90B,Q,9220,,,True,False,False,False,True,,76141155.58,0,,9,Warm
775662026,ASS OUVRIERE COMPAGNON DEVOIR TOUR FRANC (AOCDTF),82 RUE DE L'HOTEL DE VILLE 75004 PARIS,75004,PARIS,75,42,1000-1999,85.59A,P,9230,,,True,False,False,False,True,,692572.98,0,,9,Warm
775691991,SOCIETE PROTECTRICE DES ANIMAUX (SPA),39 BOULEVARD BERTHIER 75017 PARIS,75017,PARIS,75,41,500-999,94.99Z,S,9230,,,True,False,False,False,True,,1033239.73,0,,9,Warm
344656277,ASSOCIATION ENVERGURE,7 RUE NICOLAS ROBERT 93600 AULNAY-SOUS-BOIS,93600,AULNAY-SOUS-BOIS,93,32,250-499,85.59A,P,9220,,,True,False,False,False,True,,511256.62,0,,9,Warm
775666431,ASSOCIATION POUR LE LOGEMENT DES JEUNES TRAVAILLEURS (ALJT),ALJT SIEGE 21 RUE DES ARDENNES 75019 PARIS,75019,PARIS,75,32,250-499,55.90Z,I,9220,,,True,False,False,False,True,,2369084.74,0,,9,Warm
775666548,ASS VALENTIN HAUY SCE AVEUGLES MALVOYANTS (AVH),5 RUE DUROC 75007 PARIS,75007,PARIS,75,41,500-999,88.10B,Q,9230,,,True,False,True,False,True,,178370.09,0,,9,Warm
788105245,LES ARTS DECORATIFS,107 RUE DE RIVOLI 75001 PARIS,75001,PARIS,75,41,500-999,91.02Z,R,9220,,,True,False,False,False,True,,16983504.15,0,,9,Warm
323686691,LEO LAGRANGE PETITE ENFANCE (LLPE),150 RUE DES POISSONNIERS 75018 PARIS,75018,PARIS,75,41,500-999,88.91A,Q,9220,,,True,False,False,False,True,,1276268.0,0,,9,Warm
784810111,CRESCENDO,102 C RUE AMELOT 75011 PARIS,75011,PARIS,75,41,500-999,88.91A,Q,9220,,,True,False,True,False,True,,127230.0,0,,9,Warm
340138957,ASS ST MICHEL DE PICPUS,53 RUE DE LA GARE DE REUILLY 75012 PARIS,75012,PARIS,75,32,250-499,85.31Z,P,9220,,,True,False,False,False,True,,1130548.1300000001,0,,9,Warm
349496174,AIDES,TOUR ESSOR 14 RUE SCANDICCI 93500 PANTIN,93500,PANTIN,93,41,500-999,88.99B,Q,9230,,,True,False,False,False,True,,3160741.0,0,,9,Warm
775685621,UNION FRANCAISE CENTRE VACANCES LOISIRS (UFCV),25 ALLEE ROSE DIENG-KUNTZ 75019 PARIS,75019,PARIS,75,42,1000-1999,94.99Z,P,9220,,,True,False,False,False,True,,4165660.81,0,,9,Warm
309802205,OEUVRES HOSPITALIERES FRANCAISES DE L'ORDRE DE MALTE (OHFOM),42 RUE DES VOLONTAIRES 75015 PARIS,75015,PARIS,75,42,1000-1999,88.99B,Q,9230,,,True,False,False,False,True,,1973853.46,0,,9,Warm
390322055,ASS FONDATION ETUDIANTE POUR LA VILLE,221 RUE LA FAYETTE 75010 PARIS,75010,PARIS,75,41,500-999,88.99B,Q,9220,,,True,False,False,False,True,,14712268.52,0,,9,Warm
322434077,ISM INTERPRETARIAT,90 AVENUE DE FLANDRE 75019 PARIS,75019,PARIS,75,41,500-999,74.30Z,M,9220,,,True,False,False,False,True,,4518976.64,0,,9,Warm
775672439,MOISSONS NOUVELLES,1ER ETAGE 160 RUE DE CRIMEE 75019 PARIS,75019,PARIS,75,42,1000-1999,87.90A,Q,9220,,,True,False,False,False,True,,810345.78,0,,9,Warm
775688104,ASSOCIATION O.R.T.,1ER ETAGE 4 B RUE DES ROSIERS 75004 PARIS,75004,PARIS,75,41,500-999,85.59A,P,9220,,,True,False,False,False,True,,1810805.99,0,,9,Warm
775661440,ADEF HABITAT,19 AU 21 19 RUE BAUDIN 94200 IVRY-SUR-SEINE,94200,IVRY-SUR-SEINE,94,32,250-499,55.90Z,I,9220,,,True,False,False,False,True,,2874340.1100000003,0,,9,Warm
326021177,OPPELIA,60 A 64 60 RUE DU RENDEZ-VOUS 75012 PARIS,75012,PARIS,75,41,500-999,82.11Z,Q,9220,,,True,False,False,False,True,,3410136.89,0,,9,Warm
434447660,INSTITUT D'EDUCATION ET DES PRATIQUES CITOYENNES,59 RUE DE LA COMMUNE DE PARIS 93300 AUBERVILLIERS,93300,AUBERVILLIERS,93,32,250-499,88.10C,Q,9220,,,True,False,True,False,True,,123000.0,0,,9,Warm
849813852,OPERATEUR DE COMPETENCES INTERINDUSTRIEL (OPCO 2I),23 RUE BALZAC 75008 PARIS,75008,PARIS,75,41,500-999,94.99Z,S,9220,,,True,False,False,False,True,,40718886.41,0,,9,Warm
775657729,FONDATION OLGA SPITZER,9 COUR DES PETITES ECURIES 75010 PARIS,75010,PARIS,75,41,500-999,87.90A,Q,9300,,,True,False,False,False,True,,5008969.14,0,,9,Warm
775663933,ASSOCIATION JEAN COTXET (ASSOCIATION),7 BOULEVARD DE MAGENTA 75010 PARIS,75010,PARIS,75,42,1000-1999,70.10Z,Q,9220,,,True,False,False,False,True,,1571020.28,0,,9,Warm
301546503,ASSOCIATION STE MARIE ASM,BP 112 2 RUE DE L'ABBAYE 92160 ANTONY,92160,ANTONY,92,32,250-499,85.31Z,P,9220,,,True,False,False,False,True,,1420831.99,0,,9,Warm
775676349,FONDATION L ELAN RETROUVE,23 RUE CATHERINE DE LA ROCHEFOUCAULD 75009 PARIS,75009,PARIS,75,41,500-999,86.10Z,Q,9300,,,True,False,True,False,True,,487233.74,0,,9,Warm
785501065,ASS SAUVEGARDE ENFANCE ET ADOLESCENCE (ADSEA 93),20 RUE GALLIENI 93000 BOBIGNY,93000,BOBIGNY,93,32,250-499,88.99B,Q,9220,,,True,False,False,False,True,,3985469.08,0,,9,Warm
775672454,VIVRE ET DEVENIR VILLEPINTE - SAINT-MICHEL,2 ALLEE JOSEPH RECAMIER 75015 PARIS,75015,PARIS,75,42,1000-1999,88.99B,Q,9220,,,True,False,False,False,True,,790955.26,0,,9,Warm
775666530,SOC PHILANTHROPIQUE,15 RUE DE BELLECHASSE 75007 PARIS,75007,PARIS,75,42,1000-1999,88.99B,Q,9220,,,True,False,False,False,True,,3618337.38,0,,9,Warm
775680259,LES PETITS FRERES DES PAUVRES (PFP),19 CITE VOLTAIRE 75011 PARIS,75011,PARIS,75,32,250-499,88.99B,Q,9230,,,True,False,False,False,True,,707698.0,0,,9,Warm
328139837,ACTION SOCIALE FINANCES RESTAURATION (ASF RESTAURATION),8 AVENUE DES MINIMES 94300 VINCENNES,94300,VINCENNES,94,32,250-499,56.29B,I,9220,,,True,False,False,False,True,,14927439.78,0,,9,Warm
851240499,OPCO MOBILITES,204 ROND-POINT DU PONT DE SEVRES 92100 BOULOGNE-BILLANCOURT,92100,BOULOGNE-BILLANCOURT,92,41,500-999,85.59A,S,9220,,,True,False,False,False,True,,9399076.1,0,,9,Warm
318732161,CENTRE D ACTION SOCIALE PROTESTANT (CASP),CASP 20 RUE SANTERRE 75012 PARIS,75012,PARIS,75,41,500-999,87.90B,Q,9220,,,True,False,False,False,True,,61676595.65,0,,9,Warm
784280737,INSTITUT CATHOLIQUE DE PARIS,21 RUE D'ASSAS 75006 PARIS,75006,PARIS,75,41,500-999,85.42Z,P,9230,,,True,False,False,False,True,,6791347.27,0,,9,Warm
775722572,CESI (CESI),TOUR PB5 1 AVENUE DU GENERAL DE GAULLE 92800 PUTEAUX,92800,PUTEAUX,92,42,1000-1999,85.42Z,P,9220,,,True,False,False,False,True,,1192602.31,0,,9,Warm
318990892,ACTION CONTRE LA FAIM,CS 10007 102 RUE DE PARIS 93100 MONTREUIL,93100,MONTREUIL,93,41,500-999,88.99A,Q,9220,,,True,False,False,False,True,,19266720.0,0,,9,Warm
302984158,INSTITUT DE L'ELEVAGE,149 RUE DE BERCY 75012 PARIS,75012,PARIS,75,32,250-499,72.19Z,M,9220,,,True,False,False,False,True,,11500547.17,0,,9,Warm
853000982,AKTO,14 RUE RIQUET 75019 PARIS,75019,PARIS,75,42,1000-1999,94.99Z,S,9220,,,True,False,False,False,True,,48059384.910000004,0,,9,Warm
775740525,ASS DE PREVENTION SOINS ET INSERTION (APSI),1 RUE DE L'YSER 94370 SUCY-EN-BRIE,94370,SUCY-EN-BRIE,94,32,250-499,86.21Z,Q,9220,,,True,False,True,False,True,,328891.51,0,,9,Warm
533846150,OPERATEUR DE COMPETENCES DE LA CONSTRUCTION,32 RUE RENE BOULANGER 75010 PARIS,75010,PARIS,75,32,250-499,94.99Z,S,9220,,,True,False,False,False,True,,12379644.86,0,,9,Warm
834983439,PARIS 2024 COMITE D'ORGANISATION DES JEUX OLYMPIQUES ET PARALYMPIQUES (COJO),IMMEUBLE GAVROCHE 190 RUE CHAMPIONNET 75018 PARIS,75018,PARIS,75,51,2000-4999,93.19Z,R,9220,,,True,False,False,False,True,,74980886.0,0,,9,Warm
775685779,ARVALIS INSTITUT DU VEGETAL,3 RUE JOSEPH ET MARIE HACKIN 75016 PARIS,75016,PARIS,75,41,500-999,72.19Z,M,9220,,,True,False,False,False,True,,10442858.64,0,,9,Warm
389515180,SOLIDARITES INTERNATIONAL,89 RUE DE PARIS 92110 CLICHY,92110,CLICHY,92,41,500-999,94.99Z,S,9220,,,True,False,False,False,True,PEIGNEY ANTOINE PAUL BENOIT (Autre),30087199.0,0,,9,Warm
775684012,PROTECTION SOCIALE DE VAUGIRARD,SIEGE SOCIAL 91 B RUE FALGUIERE 75015 PARIS,75015,PARIS,75,32,250-499,87.20A,Q,9220,,,True,False,True,False,True,,167691.21999999997,0,,9,Warm
784346983,CENTRE INTER MEDECINE TRAVAIL,26 RUE MARBEUF 75008 PARIS,75008,PARIS,75,32,250-499,86.21Z,Q,9220,,,True,False,False,False,True,,561168.0,0,,9,Warm
785705922,UNION DEFENS SANTE MENTALE REG EST PARIS,17 BOULEVARD HENRI RUEL 94120 FONTENAY-SOUS-BOIS,94120,FONTENAY-SOUS-BOIS,94,32,250-499,88.99B,Q,9230,,,True,False,True,False,True,,237089.01,0,,9,Warm
785550732,ASSOCIATION D'EDUCATION ET DE PROTECTION CONCORDE (AEPC),51 AVENUE CHEVREUL 93370 MONTFERMEIL,93370,MONTFERMEIL,93,32,250-499,87.90A,Q,9220,,,True,False,False,False,True,,2018077.26,0,,9,Warm
784714008,AFDAS (AFDAS),66 AU 70 66 RUE STENDHAL 75020 PARIS,75020,PARIS,75,32,250-499,94.11Z,S,9220,,,True,False,False,False,True,,12400118.049999999,0,,9,Warm
775666415,LA LIGUE DE L'ENSEIGNEMENT,3 RUE RECAMIER 75007 PARIS 07,75007,PARIS 07,75,32,250-499,94.99Z,S,9220,,,True,False,False,False,True,,26666298.05,0,,9,Warm
402886816,AGENCE D'AIDE A LA COOPERATION TECHNIQUE ET AU DEVELOPPEMENT (ACTED),33 RUE GODOT DE MAUROY 75009 PARIS,75009,PARIS,75,41,500-999,88.99B,Q,9220,,,True,False,False,False,True,BASSE VIANNEY (Administrateur); BENASSI JEAN-LOUIS (Administrateur); DE MOUSTIER (CELIER) PRISCILLA (Administrateur); DESCHOENMAEKER ERIC (Administrateur); DOHET FREDERIC (Administrateur); FERRANDO OLIVIER (Administrateur); GALLET BERTRAND (Autre); GAÜZERE MIREILLE (Administrateur); GOARANT MAXIME (Administrateur); JEDIDI SONIA (Administrateur); LALOGE LAURENT (Administrateur); LAVERTU ERIC (Administrateur); LERIDON MATTHIAS (Administrateur),27746363.5,0,,9,Warm
854033115,OPCO SANTE,31 RUE ANATOLE FRANCE 92300 LEVALLOIS-PERRET,92300,LEVALLOIS-PERRET,92,32,250-499,94.99Z,S,9220,,,True,False,False,False,True,,3575442.36,0,,9,Warm
323037630,DE GESTION DU PENSIONNAT LA SALLE PASSY BUZENVAL (AGPP),50 AVENUE OTIS MYGATT 92500 RUEIL-MALMAISON,92500,RUEIL-MALMAISON,92,32,250-499,85.31Z,P,9220,,,True,False,False,False,True,,1279229.0499999998,0,,9,Warm
321018749,MEDECINS DU MONDE,84 AVENUE DU PRESIDENT WILSON 93210 SAINT-DENIS,93210,SAINT-DENIS,93,41,500-999,88.99B,Q,9220,,,True,False,False,False,True,,12625017.0,0,,9,Warm
845107796,SOLIDARITE ALIMENTAIRE FRANCE,102 C RUE AMELOT 75011 PARIS,75011,PARIS,75,22,100-199,82.11Z,Q,9220,,,True,False,True,False,True,MOREL DAVID DENIS (Administrateur),11078334.0,0,,8,Warm
785661042,ASSOCIATION D'ENTRAIDE VIVRE (AEV),54 AVENUE FRANCOIS VINCENT RASPAIL 94110 ARCUEIL,94110,ARCUEIL,94,31,200-249,70.10Z,Q,9220,,,True,False,True,False,True,,775249.05,0,,8,Warm
422136143,WIMOOV,RDC GAUCHE 6 RUE DE L'ASILE POPINCOURT 75011 PARIS,75011,PARIS,75,31,200-249,96.09Z,S,9220,1968061.0,152864.0,True,False,False,False,True,DEMOURES OLIVIER (Administrateur); MARTY LUC (Commissaire aux comptes suppléant),2225051.5,0,,8,Warm
897584199,A SOLID'R,65 AVENUE JEAN MERMOZ 93120 LA COURNEUVE,93120,LA COURNEUVE,93,21,50-99,88.99B,Q,9220,,,True,False,True,False,True,,970144.0,0,,8,Warm
815158712,INSTITUT NATIONAL DE FORMATION (INF),17-19 17 PLACE DE L'ARGONNE 75019 PARIS,75019,PARIS,75,32,250-499,85.59A,P,8110,,,True,True,False,False,False,,0.0,0,,8,Warm
775682198,OEUVRE DE LA MIE DE PAIN,18 RUE CHARLES FOURIER 75013 PARIS,75013,PARIS,75,31,200-249,87.90B,Q,9220,,,True,False,True,False,True,,7952021.0,0,,8,Warm
784753287,MAISON D'ACCUEIL L'ILOT,153 AVENUE JEAN LOLIVE 93500 PANTIN,93500,PANTIN,93,22,100-199,87.90B,Q,9230,,,True,False,True,False,True,,4865009.36,0,,8,Warm
497673301,LES ENFANTS DU CANAL,5 RUE VESALE 75005 PARIS,75005,PARIS,75,21,50-99,87.90B,Q,9220,,,True,False,True,False,True,,3336877.0,0,,8,Warm
784401879,PREVLINK SANTE AU TRAVAIL,80 RUE DE CLICHY 75009 PARIS,75009,PARIS,75,41,500-999,86.22C,Q,9220,,,True,False,False,False,True,,312381.6,0,,7,Warm
312495096,INSTITUT DE GESTION SOCIALE (IGS),12 RUE ALEXANDRE PARODI 75010 PARIS,75010,PARIS,75,32,250-499,85.32Z,P,9220,,,True,False,False,False,True,,289456.38,0,,7,Warm
775671456,INSTITUT NATIONAL RECHERCHE SECURITE (INRS),65 BOULEVARD RICHARD LENOIR 75011 PARIS,75011,PARIS,75,41,500-999,72.19Z,M,9220,,,True,False,False,False,True,,400057.92,0,,7,Warm
